shop_name,address,latitude,longitude,city,postcode
Audioprothésiste SAINT FLOUR Optical Center,ZAC Montplain 15100 Saint-flour,45.040146,3.070815,Saint-Flour,15100
Audioprothésiste BARBEREY SAINT SULPICE Optical Center,centre commercial Casino 10600 Barberey saint sulpice,48.331368,4.024839,Barberey-Saint-Sulpice,10600
Audioprothésiste FOIX Optical Center,48 rue Delcassé 09000 Foix,42.964171,1.607732,Foix,09000
Audioprothésiste ALTKIRCH Optical Center,6 route de Carspach 68130 Altkirch,47.611433,7.217203,Carspach,68130
Audioprothésiste FOURMIES Optical Center,65 C rue Théophile Legrand 59610 Fourmies,50.02722,4.032131,Fourmies,59610
Audioprothésiste TAVERS Optical Center,Route Nationale 152 45190 Tavers,47.753985,1.591519,Tavers,45190
Audioprothésiste AUTERIVE Optical Center,106 route de Toulouse 31190 Auterive,43.364785,1.455942,Auterive,31190
Audioprothésiste AUXERRE Optical Center,141 rue de Paris 89000 Auxerre,47.800185,3.568232,Auxerre,89000
Audioprothésiste EVIAN LES BAINS-PUBLIER Optical Center,Shop'In Publier - RD1005 74500 Publier,46.385458,6.537408,Publier,74500
Audioprothésiste  ROCHEFORT Optical Center,"14, rue Villeneuve Montigny 17300 Rochefort",45.955585,-0.978971,Rochefort,17300
Audioprothésiste AVALLON Optical Center,22 Place Vauban 89200 Avallon,47.489837,3.909333,Avallon,89200
Audioprothésiste SENS Optical Center,183 avenue Senigallia 89100 Sens,48.184392,3.287056,Sens,89100
Audioprothésiste SAINTE-CLOTILDE Optical Center,Le Village 97490 Saint denis,-20.897801,55.470776,Saint-Denis,97400
Audioprothésiste REVEL Optical Center,16 avenue de Castelnaudary 31250 Revel,43.455927,1.999902,Revel,31250
Audioprothésiste CHÂTEAU-THIERRY Optical Center,ZAC Le Raidon 02400 Chateau thierry,49.047463,3.392863,Château-Thierry,02400
Audioprothésiste COULOMMIERS Optical Center,4 rue du Grand Morin 77120 Coulommiers,48.805398,3.093694,Coulommiers,77120
Audioprothésiste  ROMILLY-SUR-SEINE Optical Center,"129, Avenue Diderot 10100 Romilly sur seine",48.509456,3.715298,Romilly-sur-Seine,10100
Audioprothésiste BISCAROSSE Optical Center,Rue Joseph Cugnot 40600 Biscarosse,44.382694,-1.149108,Biscarrosse,40600
Audioprothésiste ISNEAUVILLE Optical Center,239 rue du Mont Perreux 76230 Isneauville,49.490727,1.14568,Isneauville,76230
Audioprothésiste ROMANS-SUR-ISERE Optical Center,7 rue Pierre Sémard 26100 Romans sur isère,45.046298,5.049883,Romans-sur-Isère,26100
Audioprothésiste ALENCON Optical Center,155 rue de Bretagne 61000 Alençon,48.432331,0.070833,Alençon,61000
Audioprothésiste MARIGNANE Optical Center,Avenue du 8 Mai 1945 13700 Marignane,43.408631,5.208691,Marignane,13700
